Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,40.880444,-43.833758,65,bottom
D2,1N4148W,D_SOD-123,62.170624,-43.252961,65,bottom
D3,1N4148W,D_SOD-123,81.422093,-47.044192,65,bottom
D4,1N4148W,D_SOD-123,96.755046,-59.238709,65,bottom
D5,1N4148W,D_SOD-123,111.980653,-71.663429,65,bottom
D6,1N4148W,D_SOD-123,141.535263,-67.371937,115,bottom
D7,1N4148W,D_SOD-123,156.76087,-54.947218,115,bottom
D8,1N4148W,D_SOD-123,172.093823,-42.752701,115,bottom
D9,1N4148W,D_SOD-123,191.345292,-38.961469,115,bottom
D10,1N4148W,D_SOD-123,212.635472,-39.542267,115,bottom
D11,1N4148W,D_SOD-123,32.776316,-61.213116,65,bottom
D12,1N4148W,D_SOD-123,54.119746,-60.518124,65,bottom
D13,1N4148W,D_SOD-123,73.371215,-64.309356,65,bottom
D14,1N4148W,D_SOD-123,88.596823,-76.734075,65,bottom
D15,1N4148W,D_SOD-123,103.929775,-88.928592,65,bottom
D16,1N4148W,D_SOD-123,149.586141,-84.6371,115,bottom
D17,1N4148W,D_SOD-123,164.919093,-72.442583,115,bottom
D18,1N4148W,D_SOD-123,180.144701,-60.017864,115,bottom
D19,1N4148W,D_SOD-123,199.44942,-56.340827,115,bottom
D20,1N4148W,D_SOD-123,220.68635,-56.80743,115,bottom
D21,1N4148W,D_SOD-123,46.122963,-77.66728,65,bottom
D22,1N4148W,D_SOD-123,65.320337,-81.574519,65,bottom
D23,1N4148W,D_SOD-123,80.65329,-93.769036,65,bottom
D24,1N4148W,D_SOD-123,172.862626,-89.477544,115,bottom
D25,1N4148W,D_SOD-123,188.195579,-77.283027,115,bottom
D26,1N4148W,D_SOD-123,207.392953,-73.375789,115,bottom
D27,1N4148W,D_SOD-123,57.613984,-109.369882,65,bottom
D28,1N4148W,D_SOD-123,72.839591,-121.794602,65,bottom
D29,1N4148W,D_SOD-123,180.676325,-117.50311,115,bottom
D30,1N4148W,D_SOD-123,195.901932,-105.078391,115,bottom
