Designator,Quantity,Value,Footprint,Package,MPN,Mount_Type
"C1, C2, C3",3,100n,C_0805_2012Metric,,,smt
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",30,1N4148W,D_SOD-123,,,smt
"J1, J3",2,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,,,tht
J2,1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,,smt
R1,1,330R,R_0805_2012Metric,,,smt
"R2, R3",2,5.1k,R_0805_2012Metric,,,smt
R4,1,10K,R_0805_2012Metric,,,smt
"R5, R6, R7, R8, R9",5,10k,R_0603_1608Metric,,,smt
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW4, SW5, SW6, SW7, SW8, SW9",30,SW_PUSH,SW_Hotswap_Kailh_MX_1.00u,,,smt
U1,1,CH552G,STC_SOP-16_3.9x9.9mm_P1.27mm,,,smt
