Designator,Quantity,Value,Footprint,Package,MPN,Mount_Type
"C1001, C1003",2,1uF,C_0603_1608Metric,,,smt
C1002,1,4.7uF,C_0603_1608Metric,,,smt
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D4, D5, D6, D7, D8, D9",35,1N4148W,D_SOD-123,,,smt
"E1, E2",2,~,EVQWGD001,,,tht
IC1001,1,AP7335-WG-7,SOT-23-5_HandSoldering,,AP7331-WG-7,smt
"R1, R1002, R1004, R2, R3, R4, R5",7,10k,R_0603_1608Metric,,,smt
R1001,1,39,R_0603_1608Metric,,,smt
R1003,1,15k,R_0603_1608Metric,,,smt
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW4, SW5, SW6, SW7, SW8, SW9",33,SW_PUSH,SW_Hotswap_Kailh_MX_1.00u,,,smt
U1,1,rp2040-zero,rp2040-zero-tht-nocut-largerpads,,,tht
U1001,1,PMW3360DM-T2QU,DIP-16_W10.16mm,,,tht
