pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
134.229194,-126.096542,90.0,bottom,C1001,,,C_0603_1608Metric,1uF,smt,True
137.259194,-130.851542,-90.0,bottom,C1002,,,C_0603_1608Metric,4.7uF,smt,True
147.979194,-138.031542,-90.0,bottom,C1003,,,C_0603_1608Metric,1uF,smt,True
62.269194,-66.707271,70.0,bottom,D1,,,D_SOD-123,1N4148W,smt,True
244.402559,-60.966822,110.0,bottom,D10,,,D_SOD-123,1N4148W,smt,True
55.753711,-84.608415,70.0,bottom,D11,,,D_SOD-123,1N4148W,smt,True
78.541468,-77.698041,70.0,bottom,D12,,,D_SOD-123,1N4148W,smt,True
98.071483,-79.738238,70.0,bottom,D13,,,D_SOD-123,1N4148W,smt,True
114.343757,-90.729008,70.0,bottom,D14,,,D_SOD-123,1N4148W,smt,True
128.009837,-108.880236,70.0,bottom,D15,,,D_SOD-123,1N4148W,smt,True
178.661916,-103.139787,110.0,bottom,D16,,,D_SOD-123,1N4148W,smt,True
192.327996,-84.988559,110.0,bottom,D17,,,D_SOD-123,1N4148W,smt,True
208.60027,-73.997789,110.0,bottom,D18,,,D_SOD-123,1N4148W,smt,True
228.130285,-71.957592,110.0,bottom,D19,,,D_SOD-123,1N4148W,smt,True
85.056951,-59.796896,70.0,bottom,D2,,,D_SOD-123,1N4148W,smt,True
250.918042,-78.867966,110.0,bottom,D20,,,D_SOD-123,1N4148W,smt,True
72.025984,-95.599185,70.0,bottom,D21,,,D_SOD-123,1N4148W,smt,True
91.555999,-97.639383,70.0,bottom,D22,,,D_SOD-123,1N4148W,smt,True
107.828273,-108.630153,70.0,bottom,D23,,,D_SOD-123,1N4148W,smt,True
198.84348,-102.889704,110.0,bottom,D24,,,D_SOD-123,1N4148W,smt,True
215.115754,-91.898934,110.0,bottom,D25,,,D_SOD-123,1N4148W,smt,True
234.645769,-89.858736,110.0,bottom,D26,,,D_SOD-123,1N4148W,smt,True
100.249914,-143.376141,70.0,bottom,D27,,,D_SOD-123,1N4148W,smt,True
117.173736,-152.576796,70.0,bottom,D28,,,D_SOD-123,1N4148W,smt,True
189.498017,-146.836347,110.0,bottom,D29,,,D_SOD-123,1N4148W,smt,True
104.586967,-61.837094,70.0,bottom,D3,,,D_SOD-123,1N4148W,smt,True
206.421839,-137.635692,110.0,bottom,D30,,,D_SOD-123,1N4148W,smt,True
120.85924,-72.827864,70.0,bottom,D4,,,D_SOD-123,1N4148W,smt,True
134.52532,-90.979091,70.0,bottom,D5,,,D_SOD-123,1N4148W,smt,True
172.146433,-85.238642,110.0,bottom,D6,,,D_SOD-123,1N4148W,smt,True
185.812513,-67.087415,110.0,bottom,D7,,,D_SOD-123,1N4148W,smt,True
202.084786,-56.096645,110.0,bottom,D8,,,D_SOD-123,1N4148W,smt,True
221.614802,-54.056447,110.0,bottom,D9,,,D_SOD-123,1N4148W,smt,True
135.469194,-135.631542,90.0,bottom,IC1001,AP7331-WG-7,,SOT-23-5_HandSoldering,AP7335-WG-7,smt,True
138.099194,-137.891542,-90.0,bottom,R1001,,,R_0603_1608Metric,39,smt,True
135.019194,-131.611542,0.0,bottom,R1002,,,R_0603_1608Metric,10k,smt,True
134.219194,-129.391542,90.0,bottom,R1003,,,R_0603_1608Metric,15k,smt,True
150.439194,-138.131542,0.0,bottom,R1004,,,R_0603_1608Metric,10k,smt,True
56.766931,-57.288123,-20.0,top,SW1,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
234.133069,-57.288123,20.0,top,SW10,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
50.251448,-75.189267,-20.0,top,SW11,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
73.039205,-68.278893,-20.0,top,SW12,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
92.56922,-70.31909,-20.0,top,SW13,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
108.841494,-81.30986,-20.0,top,SW14,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
122.507574,-99.461088,-20.0,top,SW15,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
168.392426,-99.461088,20.0,top,SW16,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
182.058506,-81.30986,20.0,top,SW17,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
198.33078,-70.31909,20.0,top,SW18,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
217.860795,-68.278893,20.0,top,SW19,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
79.554688,-50.377748,-20.0,top,SW2,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
240.648552,-75.189267,20.0,top,SW20,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
66.523721,-86.180037,-20.0,top,SW21,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
86.053736,-88.220235,-20.0,top,SW22,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
102.32601,-99.211005,-20.0,top,SW23,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
188.57399,-99.211005,20.0,top,SW24,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
204.846264,-88.220235,20.0,top,SW25,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
224.376279,-86.180037,20.0,top,SW26,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
94.747651,-133.956993,-20.0,top,SW27,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
111.671473,-143.157648,-20.0,top,SW28,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
179.228527,-143.157648,20.0,top,SW29,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
99.084704,-52.417946,-20.0,top,SW3,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
196.152349,-133.956993,20.0,top,SW30,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
115.356977,-63.408716,-20.0,top,SW4,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
129.023057,-81.559943,-20.0,top,SW5,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
161.876943,-81.559943,20.0,top,SW6,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
175.543023,-63.408716,20.0,top,SW7,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
191.815296,-52.417946,20.0,top,SW8,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
211.345312,-50.377748,20.0,top,SW9,,,SW_Hotswap_Kailh_MX_1.00u,SW_PUSH,smt,True
