Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","SW_Hotswap_Kailh_MX_1.00u",37.859740,-38.291375,-25.000000,top
"SW2","SW_Push","SW_Hotswap_Kailh_MX_1.00u",59.150342,-37.709672,-25.000000,top
"SW3","SW_Push","SW_Hotswap_Kailh_MX_1.00u",78.428225,-41.444259,-25.000000,top
"SW4","SW_Push","SW_Hotswap_Kailh_MX_1.00u",93.680669,-53.811427,-25.000000,top
"SW5","SW_Push","SW_Hotswap_Kailh_MX_1.00u",108.933113,-66.178596,-25.000000,top
"SW6","SW_Push","SW_Hotswap_Kailh_MX_1.00u",135.374716,-66.180906,25.000000,top
"SW7","SW_Push","SW_Hotswap_Kailh_MX_1.00u",150.627160,-53.813737,25.000000,top
"SW8","SW_Push","SW_Hotswap_Kailh_MX_1.00u",165.879604,-41.446569,25.000000,top
"SW9","SW_Push","SW_Hotswap_Kailh_MX_1.00u",185.157487,-37.711982,25.000000,top
"SW10","SW_Push","SW_Hotswap_Kailh_MX_1.00u",206.448089,-38.293685,25.000000,top
"SW11","SW_Push","SW_Hotswap_Kailh_MX_1.00u",29.808862,-55.556539,-25.000000,top
"SW12","SW_Push","SW_Hotswap_Kailh_MX_1.00u",51.099464,-54.974835,-25.000000,top
"SW13","SW_Push","SW_Hotswap_Kailh_MX_1.00u",70.377347,-58.709422,-25.000000,top
"SW14","SW_Push","SW_Hotswap_Kailh_MX_1.00u",85.629791,-71.076591,-25.000000,top
"SW15","SW_Push","SW_Hotswap_Kailh_MX_1.00u",100.882235,-83.443760,-25.000000,top
"SW16","SW_Push","SW_Hotswap_Kailh_MX_1.00u",143.425594,-83.446070,25.000000,top
"SW17","SW_Push","SW_Hotswap_Kailh_MX_1.00u",158.678038,-71.078901,25.000000,top
"SW18","SW_Push","SW_Hotswap_Kailh_MX_1.00u",173.930482,-58.711732,25.000000,top
"SW19","SW_Push","SW_Hotswap_Kailh_MX_1.00u",193.208365,-54.977145,25.000000,top
"SW20","SW_Push","SW_Hotswap_Kailh_MX_1.00u",214.498967,-55.558849,25.000000,top
"SW21","SW_Push","SW_Hotswap_Kailh_MX_1.00u",43.048586,-72.239998,-25.000000,top
"SW22","SW_Push","SW_Hotswap_Kailh_MX_1.00u",62.326469,-75.974585,-25.000000,top
"SW23","SW_Push","SW_Hotswap_Kailh_MX_1.00u",77.578913,-88.341754,-25.000000,top
"SW24","SW_Push","SW_Hotswap_Kailh_MX_1.00u",166.728916,-88.344064,25.000000,top
"SW25","SW_Push","SW_Hotswap_Kailh_MX_1.00u",181.981360,-75.976895,25.000000,top
"SW26","SW_Push","SW_Hotswap_Kailh_MX_1.00u",201.259243,-72.242308,25.000000,top
"SW27","SW_Push","SW_Hotswap_Kailh_MX_1.00u",54.566443,-103.885050,-25.000000,top
"SW28","SW_Push","SW_Hotswap_Kailh_MX_1.00u",69.818887,-116.252219,-25.000000,top
"SW29","SW_Push","SW_Hotswap_Kailh_MX_1.00u",174.488942,-116.254529,25.000000,top
"SW30","SW_Push","SW_Hotswap_Kailh_MX_1.00u",189.741386,-103.887360,25.000000,top
