pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
61.714739,-68.769624,70.0,bottom,D1,,,D_SOD-123,1N4148W,smt,True
230.675205,-66.971966,110.0,bottom,D10,,,D_SOD-123,1N4148W,smt,True
55.900397,-84.744399,70.0,bottom,D11,,,D_SOD-123,1N4148W,smt,True
77.175621,-78.91968,70.0,bottom,D12,,,D_SOD-123,1N4148W,smt,True
95.543674,-81.082349,70.0,bottom,D13,,,D_SOD-123,1N4148W,smt,True
111.004555,-91.232405,70.0,bottom,D14,,,D_SOD-123,1N4148W,smt,True
124.1397,-107.772371,70.0,bottom,D15,,,D_SOD-123,1N4148W,smt,True
168.250244,-105.974713,110.0,bottom,D16,,,D_SOD-123,1N4148W,smt,True
181.385389,-89.434747,110.0,bottom,D17,,,D_SOD-123,1N4148W,smt,True
196.84627,-79.284691,110.0,bottom,D18,,,D_SOD-123,1N4148W,smt,True
215.214323,-77.122022,110.0,bottom,D19,,,D_SOD-123,1N4148W,smt,True
82.989963,-62.944906,70.0,bottom,D2,,,D_SOD-123,1N4148W,smt,True
236.489547,-82.946741,110.0,bottom,D20,,,D_SOD-123,1N4148W,smt,True
98.662296,-138.299603,70.0,bottom,D21,,,D_SOD-123,1N4148W,smt,True
71.361278,-94.894455,70.0,bottom,D22,,,D_SOD-123,1N4148W,smt,True
89.729331,-97.057124,70.0,bottom,D23,,,D_SOD-123,1N4148W,smt,True
105.190213,-107.20718,70.0,bottom,D24,,,D_SOD-123,1N4148W,smt,True
114.704612,-146.852182,70.0,bottom,D25,,,D_SOD-123,1N4148W,smt,True
177.685332,-145.054524,110.0,bottom,D26,,,D_SOD-123,1N4148W,smt,True
187.199731,-105.409522,110.0,bottom,D27,,,D_SOD-123,1N4148W,smt,True
202.660613,-95.259466,110.0,bottom,D28,,,D_SOD-123,1N4148W,smt,True
221.028666,-93.096797,110.0,bottom,D29,,,D_SOD-123,1N4148W,smt,True
101.358016,-65.107575,70.0,bottom,D3,,,D_SOD-123,1N4148W,smt,True
193.727648,-136.501945,110.0,bottom,D30,,,D_SOD-123,1N4148W,smt,True
116.818898,-75.257631,70.0,bottom,D4,,,D_SOD-123,1N4148W,smt,True
129.954042,-91.797597,70.0,bottom,D5,,,D_SOD-123,1N4148W,smt,True
162.435902,-89.999939,110.0,bottom,D6,,,D_SOD-123,1N4148W,smt,True
175.571046,-73.459973,110.0,bottom,D7,,,D_SOD-123,1N4148W,smt,True
191.031928,-63.309917,110.0,bottom,D8,,,D_SOD-123,1N4148W,smt,True
209.399981,-61.147248,110.0,bottom,D9,,,D_SOD-123,1N4148W,smt,True
61.243309,-62.381111,-20.0,top,SW1,,,SW_Kailh_Choc_V1_1.00u,SW_PUSH,tht,True
226.207612,-62.381111,20.0,top,SW10,,,SW_Kailh_Choc_V1_1.00u,SW_PUSH,tht,True
55.428967,-78.355886,-20.0,top,SW11,,,SW_Kailh_Choc_V1_1.00u,SW_PUSH,tht,True
76.704191,-72.531167,-20.0,top,SW12,,,SW_Kailh_Choc_V1_1.00u,SW_PUSH,tht,True
95.072244,-74.693836,-20.0,top,SW13,,,SW_Kailh_Choc_V1_1.00u,SW_PUSH,tht,True
110.533125,-84.843892,-20.0,top,SW14,,,SW_Kailh_Choc_V1_1.00u,SW_PUSH,tht,True
